,Date_Time,Gender,Had_Helmet,Had_Passenger,On_Sidewalk
0,2010-09-24 7:00,Male,No,No,No
1,2010-09-24 7:00,Male,No,No,No
2,2010-09-24 7:00,Male,No,No,No
3,2010-09-24 7:00,Male,No,No,No
4,2010-09-24 7:00,Male,No,No,No
5,2010-09-24 7:15,Male,Yes,No,No
6,2010-09-24 7:15,Female,Yes,No,No
7,2010-09-24 7:15,Male,Yes,No,No
8,2010-09-24 7:15,Female,Yes,No,Yes
9,2010-09-24 7:15,Male,Yes,No,No
10,2010-09-24 7:15,Male,Yes,No,No
11,2010-09-24 7:15,Male,Yes,No,No
12,2010-09-24 7:15,Female,Yes,No,No
13,2010-09-24 7:30,Male,No,No,No
14,2010-09-24 7:30,Male,Yes,No,No
15,2010-09-24 7:30,Male,No,No,No
16,2010-09-24 7:30,Female,Yes,No,No
17,2010-09-24 7:30,Male,No,No,No
18,2010-09-24 7:30,Female,Yes,No,No
19,2010-09-24 7:30,Male,No,No,Yes
20,2010-09-24 7:30,Female,No,No,No
21,2010-09-24 7:30,Male,No,No,No
22,2010-09-24 7:45,Male,Yes,No,No
23,2010-09-24 7:45,Female,Yes,No,No
24,2010-09-24 7:45,Female,Yes,No,No
25,2010-09-24 7:45,Male,Yes,No,No
26,2010-09-24 7:45,Male,No,No,No
27,2010-09-24 8:00,Female,Yes,No,Yes
28,2010-09-24 8:00,Male,Yes,No,No
29,2010-09-24 8:00,Male,No,No,No
30,2010-09-24 8:00,Female,No,No,No
31,2010-09-24 8:00,Male,Yes,No,No
32,2010-09-24 8:00,Male,Yes,No,No
33,2010-09-24 8:00,Male,No,No,No
34,2010-09-24 8:00,Female,Yes,No,No
35,2010-09-24 8:00,Male,Yes,No,No
36,2010-09-24 8:00,Male,No,No,No
37,2010-09-24 8:00,Male,No,No,No
38,2010-09-24 8:00,Female,Yes,No,No
39,2010-09-24 8:00,Female,Yes,No,No
40,2010-09-24 8:00,Male,Yes,No,No
41,2010-09-24 8:00,Female,Yes,No,No
42,2010-09-24 8:00,Male,No,No,No
43,2010-09-24 8:00,Female,No,No,No
44,2010-09-24 8:00,Male,Yes,No,No
45,2010-09-24 8:15,Male,Yes,No,No
46,2010-09-24 8:15,Male,No,No,No
47,2010-09-24 8:15,Male,No,No,No
48,2010-09-24 8:15,Male,Yes,No,No
49,2010-09-24 8:15,Male,No,No,No
50,2010-09-24 8:15,Male,Yes,No,No
51,2010-09-24 8:15,Female,Yes,No,Yes
52,2010-09-24 8:15,Male,Yes,No,No
53,2010-09-24 8:15,Male,No,No,No
54,2010-09-24 8:15,Female,Yes,No,No
55,2010-09-24 8:15,Female,No,No,No
56,2010-09-24 8:15,Male,No,No,Yes
57,2010-09-24 8:15,Male,No,No,No
58,2010-09-24 8:15,Male,No,No,Yes
59,2010-09-24 8:30,Male,Yes,No,No
60,2010-09-24 8:30,Male,Yes,No,No
61,2010-09-24 8:30,Male,Yes,No,No
62,2010-09-24 8:30,Male,Yes,No,No
63,2010-09-24 8:30,Male,Yes,No,No
64,2010-09-24 8:30,Male,No,No,No
65,2010-09-24 8:30,Male,No,No,No
66,2010-09-24 8:30,Female,No,No,No
67,2010-09-24 8:30,Male,No,No,Yes
68,2010-09-24 8:30,Female,Yes,No,No
69,2010-09-24 8:30,Female,Yes,No,No
70,2010-09-24 8:30,Female,Yes,No,No
71,2010-09-24 8:45,Female,Yes,No,No
72,2010-09-24 8:45,Female,No,No,No
73,2010-09-24 8:45,Male,Yes,No,No
74,2010-09-24 8:45,Male,No,No,No
75,2010-09-24 8:45,Male,No,No,No
76,2010-09-24 8:45,Male,No,No,No
77,2010-09-24 8:45,Female,No,No,No
78,2010-09-24 8:45,Female,Yes,No,No
79,2010-09-24 8:45,Male,No,No,No
80,2010-09-24 8:45,Male,No,No,No
81,2010-09-24 8:45,Female,No,No,No
82,2010-09-24 8:45,Female,No,No,No
83,2010-09-24 8:45,Male,Yes,No,No
84,2010-09-24 8:45,Female,Yes,No,No
85,2010-09-24 8:45,Male,No,No,No
86,2010-09-24 8:45,Male,No,No,No
87,2010-09-24 8:45,Male,No,No,No
88,2010-09-24 8:45,Female,No,No,No
89,2010-09-24 8:45,Male,Yes,No,No
90,2010-09-24 8:45,Male,No,No,No
91,2010-09-24 8:45,Female,Yes,Yes,No
92,2010-09-24 8:45,Male,Yes,No,No
93,2010-09-24 9:00,Male,Yes,No,Yes
94,2010-09-24 9:00,Female,No,No,No
95,2010-09-24 9:00,Female,Yes,No,No
96,2010-09-24 9:00,Male,No,No,No
97,2010-09-24 9:00,Male,Yes,No,No
98,2010-09-24 9:00,Male,No,No,No
99,2010-09-24 9:00,Male,No,No,No
100,2010-09-24 9:00,Female,No,No,No
